15901,"DUKUZOV, Kazbek","individual","MAGNIT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1974; POB Urus-Martan District, Chechen Republic, Russia."
35238,"ZYUGANOV, Gennady Andreyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 26 Jun 1944; POB Mymrino, Oryol, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35389,"KHARITONOV, Nikolay Mikhaylovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 30 Oct 1948; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35409,"GAVRILOV, Sergey Anatolyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 27 Jan 1966; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35466,"AKSAKOV, Anatoly Gennadyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 28 Nov 1957; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35472,"LANTRATOVA, Yana Valeryevna","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 14 Dec 1988; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35568,"BRYKIN, Nikolay Gavrilovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 25 Nov 1959; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35638,"KARTAPOLOV, Andrey Valeriyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 09 Nov 1963; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35639,"KASTYUKEVICH, Igor Yuryevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 06 Dec 1976; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35649,"KOLESNIKOV, Oleg Alekseyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 11 Sep 1968; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35712,"RODNINA, Irina Konstantinovna","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 12 Sep 1949; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35977,"KASHINA, Irina Nikolayevna","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 27 Jul 1956; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Linked To: SOVCOMBANK OPEN JOINT STOCK COMPANY."
36821,"KOLBIN, Sergey Nikolayevich","individual","RUSSIA-EO14024","Member of the Federation Council of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 29 Oct 1969; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the Federation Council of the Federal Assembly of the Russian Federation."
36894,"ZHURAVLEV, Nikolai Andreyevich","individual","RUSSIA-EO14024","Member of the Federation Council of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 01 Sep 1976; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the Federation Council of the Federal Assembly of the Russian Federation."
37296,"AVKSENTIEVA, Sardana Vladimirovna","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 02 Jul 1970; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
37305,"VOLOTSKOV, Alexey Anatolievich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 05 Jul 1981; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
37313,"DAVANKOV, Vladislav Andreyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 25 Feb 1984; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
37347,"NECHAEV, Alexey Gennadievich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 30 Aug 1966; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
37385,"KHINSHTEIN, Alexander Evseyevich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 26 Oct 1974; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
37396,"YAROVAYA, Irina Anatolievna","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 17 Oct 1966; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
39597,"SHOR, Ilan Mironovich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 06 Mar 1987; POB Tel Aviv, Israel; nationality Moldova; alt. nationality Israel; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024."
39598,"SHOR, Sara Lvovna","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 12 Oct 1977; POB Russia; nationality Russia; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Passport 752329813 (Russia); National ID No. 4611519895 (Russia); a.k.a. 'ZHASMIN'; Linked To: SHOR, Ilan Mironovich."
39599,"SHOR PARTY",-0- ,"RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date Jun 1998; Organization Type: Activities of political organizations; Linked To: SHOR, Ilan Mironovich."
41016,"KOKOV, Kazbek Valeryevich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 20 Jul 1973; POB Nalchik, Kabardino-Balkaria Republic, Russia; nationality Russia; citizen Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. 071306654254 (Russia)."
44316,"LEPIN, Vladimir Nikolaevich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 28 Jul 1959; POB Tambov, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Linked To: JOINT STOCK COMPANY CONCERN KALASHNIKOV."
44689,"NECHAEV, Vladimir Dmitrievich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 20 Dec 1972; POB Sudzha, Kursk Region, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024."
44739,"JOINT STOCK COMPANY GAVRILOV YAM MACHINE BUILDING PLANT AGAT",-0- ,"RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. 7616002417 (Russia); Registration Number 1027601067944 (Russia); a.k.a. 'JSC GMZ AGAT'."
48039,"TAUBER, Marina","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 01 May 1986; POB Chisinau, Moldova; nationality Moldova; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Linked To: SHOR, Ilan Mironovich."
48857,"KASHIN, Valery Mikhailovich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 14 Sep 1947; POB Chernivtsi, Ukraine; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. 502207611476 (Russia)."
49416,"GUTSUL, Yevgeniya Aleksandrovna","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 06 Sep 1986; POB Etulia, Gagauzia, Moldova; nationality Moldova; Gender Female; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Linked To: SHOR, Ilan Mironovich."
50113,"KOLESNIKOV, Mikhail Vladimirovich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 28 May 1960; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. 772706274117 (Russia)."
50582,"KALASHNIKOV, Konstantin Sergeyevich","individual","RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 26 Jan 1993; POB Donetsk, Ukraine; nationality Ukraine; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Passport PU224040 (Ukraine)."
